"title","rating","rental_rate"
"Platoon Instinct","PG-13","4.99"
"Pollock Deliverance","PG","2.99"
"Pond Seattle","PG-13","2.99"
"Poseidon Forever","PG-13","4.99"
"Potter Connecticut","PG","2.99"
"Prejudice Oleander","PG-13","4.99"
"President Bang","PG","4.99"
"Private Drop","PG","4.99"
"Psycho Shrunk","PG-13","2.99"
"Punk Divorce","PG","4.99"
"Queen Luke","PG","4.99"
"Rainbow Shock","PG","4.99"
"Range Moonwalker","PG","4.99"
"Reap Unfaithful","PG-13","2.99"
"Records Zorro","PG","4.99"
"Reds Pocus","PG-13","4.99"
"Reign Gentlemen","PG-13","2.99"
"Reservoir Adaptation","PG-13","2.99"
"Rider Caddyshack","PG","2.99"
"Right Cranes","PG-13","4.99"
"Robbers Joon","PG-13","2.99"
"Rocky War","PG-13","4.99"
"Rollercoaster Bringing","PG-13","2.99"
"Roses Treasure","PG-13","4.99"
"Rushmore Mermaid","PG-13","2.99"
"Sabrina Midnight","PG","4.99"
"Saddle Antitrust","PG-13","2.99"
"Santa Paris","PG","2.99"
"Scarface Bang","PG-13","4.99"
"School Jacket","PG-13","4.99"
"Sea Virgin","PG","2.99"
"Seattle Expecations","PG-13","4.99"
"Secret Groundhog","PG","4.99"
"Secretary Rouge","PG","4.99"
"Sensibility Rear","PG","4.99"
"Shakespeare Saddle","PG-13","2.99"
"Shane Darkness","PG","2.99"
"Shanghai Tycoon","PG","2.99"
"Shawshank Bubble","PG","4.99"
"Shock Cabin","PG-13","2.99"
"Show Lord","PG-13","4.99"
"Shrek License","PG-13","2.99"
"Silverado Goldfinger","PG","4.99"
"Sinners Atlantis","PG-13","2.99"
"Sister Freddy","PG-13","4.99"
"Sky Miracle","PG","2.99"
"Sleeping Suspects","PG-13","4.99"
"Sleepy Japanese","PG","2.99"
"Snatch Slipper","PG","4.99"
"Snatchers Montezuma","PG-13","2.99"
"Speakeasy Date","PG-13","2.99"
"Speed Suit","PG-13","4.99"
"Spinal Rocky","PG-13","2.99"
"Spy Mile","PG-13","2.99"
"Squad Fish","PG","2.99"
"Stage World","PG","2.99"
"Star Operation","PG","2.99"
"Steers Armageddon","PG","4.99"
"Stock Glass","PG","2.99"
"Strictly Scarface","PG-13","2.99"
"Sugar Wonka","PG","4.99"
"Sunrise League","PG-13","4.99"
"Super Wyoming","PG","4.99"
"Suspects Quills","PG","2.99"
"Sweden Shining","PG","4.99"
"Tadpole Park","PG","2.99"
"Tarzan Videotape","PG-13","2.99"
"Telegraph Voyage","PG","4.99"
"Telemark Heartbreakers","PG-13","2.99"
"Temple Attraction","PG","4.99"
"Tequila Past","PG","4.99"
"Thief Pelican","PG-13","4.99"
"Thin Sagebrush","PG-13","4.99"
"Titans Jerk","PG","4.99"
"Tourist Pelican","PG-13","4.99"
"Trading Pinocchio","PG","4.99"
"Trainspotting Strangers","PG-13","4.99"
"Trip Newton","PG-13","4.99"
"Trojan Tomorrow","PG","2.99"
"Trouble Date","PG","2.99"
"Twisted Pirates","PG","4.99"
"Uncut Suicides","PG-13","2.99"
"Undefeated Dalmations","PG-13","4.99"
"Uptown Young","PG","2.99"
"Usual Untouchables","PG-13","4.99"
"Villain Desperate","PG-13","4.99"
"Virgin Daisy","PG-13","4.99"
"Volume House","PG","4.99"
"Wagon Jaws","PG","2.99"
"Walls Artist","PG","4.99"
"Wanda Chamber","PG-13","4.99"
"Wasteland Divine","PG","2.99"
"Whale Bikini","PG-13","4.99"
"Whisperer Giant","PG-13","4.99"
"Wizard Coldblooded","PG","4.99"
"Won Dares","PG","2.99"
"Wonderland Christmas","PG","4.99"
"Words Hunter","PG","2.99"
"Worst Banger","PG","2.99"
"Wrong Behavior","PG-13","2.99"
"Wyoming Storm","PG-13","4.99"
